"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/sÂ²)"
0.05,0.692907,0.614854444444,0.326324074074
0.1,0.722957,0.631953888889,0.262497685185
0.15,0.75528,0.649436666667,0.0837196296296
0.2,0.788707,0.650904444444,-0.301374074074
0.25,0.821547,0.626225,-0.905438271605
0.3,0.852337,0.569878333333,-1.76345
0.35,0.879992,0.467512777778,-2.91855462963
0.4,0.903356,0.277171666667,-3.93066635802
0.45,0.911109,0.024835,-3.92171234568
0.5,0.902373,-0.163963888889,-2.91412222222
0.55,0.890295,-0.263347777778,-1.85822314815
0.6,0.874978,-0.326402222222,-1.21685154321
0.65,0.857317,-0.373540555556,-0.858975617284
0.7,0.837261,-0.410558333333,-0.586769135802
0.75,0.815723,-0.433979444444,-0.295433641975
0.8,0.793169,-0.44082,0.0127913580247
0.85,0.771063,-0.432328888889,0.318774382716
0.9,0.749405,-0.409462777778,0.630616975309
0.95,0.729349,-0.368657777778,0.926823148148
1,0.712067,-0.314944444444,1.18336080247
1.05,0.697422,-0.249535555556,1.41027962963
1.1,0.68655,-0.171583333333,1.5779462963
1.15,0.680071,-0.0880177777778,1.6605595679
1.2,0.677728,-0.00312944444444,1.67648888889
1.25,0.679675,0.0825405555556,1.61943858025
1.3,0.686274,0.161749444444,1.49355617284
1.35,0.696181,0.233121111111,1.32790679012
1.4,0.709879,0.296079444444,1.11781604938
1.45,0.726213,0.347531666667,0.849510493827
1.5,0.745287,0.383159444444,0.535100925926
1.55,0.765291,0.400684444444,0.218678703704
1.6,0.785829,0.404458333333,-0.0912734567901
1.65,0.806316,0.392791111111,-0.41834845679
1.7,0.825924,0.362232777778,-0.732059567901
1.75,0.843102,0.317059444444,-0.990970679012
1.8,0.858023,0.261037222222,-1.1923287037
1.85,0.869654,0.194825555556,-1.31631419753
1.9,0.877631,0.125367777778,-1.34896296296
1.95,0.882094,0.0572994444444,-1.32012839506
2,0.883162,-0.00682777777778,-1.2777382716
2.05,0.881387,-0.0697438888889,-1.24305308642
2.1,0.876184,-0.131725555556,-1.19538641975
2.15,0.868068,-0.190433333333,-1.12096512346
2.2,0.856972,-0.244849444444,-1.01422407407
2.25,0.843429,-0.294126111111,-0.850880555556
2.3,0.827164,-0.333303333333,-0.612960493827
2.35,0.809469,-0.357378888889,-0.328603395062
2.4,0.790826,-0.366388888889,-0.0346324074074
2.45,0.7722,-0.359868888889,0.243562654321
2.5,0.754419,-0.341337222222,0.507073148148
2.55,0.737585,-0.309952777778,0.775838271605
2.6,0.722715,-0.262633888889,1.0145845679
2.65,0.71093,-0.205157222222,1.18387469136
2.7,0.702057,-0.142345,1.30193765432
2.75,0.69644,-0.0737533333333,1.37760987654
2.8,0.694493,-0.00156111111111,1.38315432099
2.85,0.69644,0.0676816666667,1.31835925926
2.9,0.701505,0.131492222222,1.21640185185
2.95,0.709776,0.190093888889,1.08686790123
3,0.720768,0.24168,0.918847530864
3.05,0.734277,0.284336666667,0.698507716049
3.1,0.749784,0.313146111111,0.439902777778
3.15,0.766118,0.328460555556,0.173139506173
3.2,0.783141,0.330511111111,-0.0946833333333
3.25,0.799751,0.318310555556,-0.34872654321
3.3,0.815362,0.295124444444,-0.589665432099
3.35,0.829766,0.259321666667,-0.821304012346
3.4,0.84181,0.211335,-1.01198024691
3.45,0.8512,0.155491111111,-1.14227932099
3.5,0.857541,0.0947272222222,-1.2143787037
3.55,0.860711,0.0324127777778,-1.24047438272
3.6,0.860832,-0.0307816666667,-1.22354166667
3.65,0.85761,-0.092505,-1.14777037037
3.7,0.851304,-0.147950555556,-1.02018549383
3.75,0.842413,-0.194590555556,-0.880652160494
3.8,0.831678,-0.235729444444,-0.73552808642
3.85,0.818635,-0.270307777778,-0.54424691358
3.9,0.804128,-0.292537222222,-0.30350617284
3.95,0.788827,-0.301240555556,-0.0470589506173
4,0.773458,-0.296375,0.194133641975
4.05,0.758778,-0.28057,0.409159567901
4.1,0.745046,-0.255108888889,0.61250308642
4.15,0.732847,-0.219187222222,0.807736419753
4.2,0.72275,-0.173605,0.980873148148
4.25,0.715134,-0.11949,1.10994598765
4.3,0.710517,-0.0592244444444,1.16219012346
4.35,0.709293,7.33333333335E-05,1.13976975309
4.4,0.710723,0.0555872222222,1.08690833333
4.45,0.714893,0.109108333333,1.01489228395
4.5,0.721751,0.158880555556,0.901883024691
4.55,0.731089,0.201315,0.743711111111
4.6,0.742272,0.234216666667,0.55892037037
4.65,0.754867,0.257714444444,0.35934845679
4.7,0.768479,0.270423888889,0.151091666667
4.75,0.782297,0.27294,-0.0631527777778
4.8,0.79615,0.264967777778,-0.291351234568
4.85,0.809348,0.243996666667,-0.516655246914
4.9,0.821082,0.2108,-0.692047839506
4.95,0.830541,0.172643888889,-0.819613580247
5,0.838553,0.128842777778,-0.93134537037
5.05,0.843791,0.0778038888889,-1.00054753086
5.1,0.846341,0.0258566666667,-1.0090962963
5.15,0.846238,-0.024035,-0.988272530864
5.2,0.843946,-0.0732738888889,-0.949258950617
5.25,0.838881,-0.120829444444,-0.86855308642
5.3,0.831575,-0.161972777778,-0.745634567901
5.35,0.822409,-0.196223888889,-0.596413888889
5.4,0.811674,-0.222682222222,-0.420776234568
5.45,0.799751,-0.239402222222,-0.22342191358
5.5,0.787242,-0.244715555556,-0.0288793209877
5.55,0.774974,-0.241393333333,0.151185493827
5.6,0.762844,-0.230323888889,0.339438888889
5.65,0.751404,-0.207361666667,0.52117808642
5.7,0.741789,-0.176195,0.663812962963
5.75,0.733657,-0.140258888889,0.784313271605
5.8,0.727437,-0.0971583333333,0.882340432099
5.85,0.723767,-0.0499516666667,0.934279012346
5.9,0.722457,-0.00212,0.944345679012
5.95,0.723525,0.0458611111111,0.914177469136
6,0.727092,0.0918022222222,0.829097222222
6.05,0.733054,0.130366666667,0.707372839506
6.1,0.740411,0.162106111111,0.584323765432
6.15,0.749388,0.189195,0.449877777778
6.2,0.759657,0.208414444444,0.28945154321
6.25,0.770615,0.218352222222,0.120269444444
6.3,0.781746,0.220850555556,-0.0581074074074
6.35,0.793152,0.212731111111,-0.239036728395
6.4,0.803352,0.196057777778,-0.403247530864
6.45,0.813001,0.172261666667,-0.559112037037
6.5,0.820961,0.139555,-0.693367283951
6.55,0.827233,0.100618333333,-0.776286728395
6.6,0.831093,0.0593122222222,-0.802901851852
6.65,0.83304,0.0196966666667,-0.806538888889
6.7,0.83316,-0.0213783333333,-0.799313580247
6.75,0.830903,-0.0618666666667,-0.755886111111
6.8,0.826802,-0.098545,-0.676687654321
6.85,0.820858,-0.130504444444,-0.571435802469
6.9,0.813501,-0.156179444444,-0.450616358025
6.95,0.805041,-0.176197777778,-0.315439814815
7,0.795547,-0.188259444444,-0.169316975309
7.05,0.785898,-0.192592777778,-0.0300336419753
7.1,0.776112,-0.191351666667,0.112374691358
7.15,0.766445,-0.182203333333,0.269666358025
7.2,0.757537,-0.164393333333,0.425803395062
7.25,0.749715,-0.139026666667,0.564654012346
7.3,0.743305,-0.106183333333,0.661664506173
7.35,0.738981,-0.0702416666667,0.701730864198
7.4,0.736344,-0.0347494444444,0.70889845679
7.45,0.7355,0.000796111111111,0.704057407407
7.5,0.736396,0.0363488888889,0.68175
7.55,0.739222,0.0700538888889,0.634694135802
7.6,0.743547,0.100348333333,0.569017592593
7.65,0.749302,0.128295,0.471667901235
7.7,0.756676,0.149208333333,0.33957808642
7.75,0.764567,0.162279444444,0.201834876543
7.8,0.773131,0.168934444444,0.0689172839506
7.85,0.78166,0.169676111111,-0.0699824074074
7.9,0.790481,0.161972777778,-0.20707345679
7.95,0.798132,0.147482777778,-0.319133024691
8,0.805248,0.130285,-0.431305555556
8.05,0.811519,0.105235555556,-0.550149382716
8.1,0.81612,0.0730066666667,-0.622047530864
8.15,0.818773,0.0404494444444,-0.63864845679
8.2,0.820134,0.00830888888889,-0.627592592593
8.25,0.8196,-0.0231994444444,-0.591779938272
8.3,0.817688,-0.0516972222222,-0.536706172839
8.35,0.814328,-0.0774794444444,-0.468656481481
8.4,0.80971,-0.0983555555556,-0.401298765432
8.45,0.804438,-0.117108333333,-0.33797962963
8.5,0.797959,-0.133621111111,-0.245211419753
8.55,0.790757,-0.143105555556,-0.122572530864
8.6,0.783365,-0.145792222222,0.0038487654321
8.65,0.775974,-0.142575,0.128266666667
8.7,0.768858,-0.133046111111,0.249072839506
8.75,0.762362,-0.116680555556,0.348185802469
8.8,0.757072,-0.0967311111111,0.417394135802
8.85,0.752661,-0.0750077777778,0.481687654321
8.9,0.749353,-0.0485944444444,0.538520061728
8.95,0.747682,-0.0196755555556,0.560683950617
9,0.747355,0.00974666666667,0.534429938272
9.05,0.748854,0.0352322222222,0.475
9.1,0.751059,0.05671,0.41969382716
9.15,0.754539,0.0768827777778,0.367716975309
9.2,0.758864,0.0940605555556,0.304187654321
9.25,0.764068,0.107976666667,0.226186728395
9.3,0.769857,0.117248888889,0.134430864198
9.35,0.776008,0.121308333333,0.0395435185185
9.4,0.782073,0.121874444444,-0.0687895061728
9.45,0.7885,0.115431666667,-0.191696296296
9.5,0.793979,0.101243888889,-0.286287345679
9.55,0.798648,0.0850605555556,-0.345329012346
9.6,0.80256,0.0666138888889,-0.394642592593
9.65,0.805454,0.0451127777778,-0.428820679012
9.7,0.807091,0.0229088888889,-0.442395987654
9.75,0.807815,-0.00039,-0.428151049383
9.8,0.806902,-0.0209366666667,-0.389735092593
9.85,0.805609,-0.0390755555556,-0.348669166667
9.9,0.803094,-0.056883,-0.290551759259
9.95,0.799613,-0.0688647222222,-0.221547345679
10,0.795633,-0.0757544444445,-0.172556358025
